timestamp,e1000e1,e1000e5,e1000e3,e1000e4,e1000e0,e1000e6,e1000e8,e1000e2,e1000e9,e1000e7,max,min,avg
0,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812
3,0.375,0.2812,0.2812,0.2812,0.375,0.2812,0.2812,0.375,0.2812,0.2812,0.375,0.2812,0.3093
4,0.5469,0.375,0.375,0.375,0.5781,0.375,0.375,0.5781,0.375,0.375,0.5781,0.375,0.4328
5,0.5469,0.5469,0.5469,0.5469,0.5781,0.5469,0.5938,0.5781,0.5781,0.6094,0.6094,0.5469,0.5672
6,0.5469,0.5469,0.5469,0.5469,0.5781,0.5469,0.5938,0.5781,0.5781,0.6094,0.6094,0.5469,0.5672
7,0.5469,0.5469,0.5469,0.5469,0.5781,0.5625,0.5938,0.5781,0.5781,0.6094,0.6094,0.5469,0.5688
8,0.5469,0.5781,0.5469,0.5469,0.5781,0.5625,0.5938,0.5781,0.5781,0.6094,0.6094,0.5469,0.5719
9,0.5469,0.5781,0.5469,0.5469,0.5781,0.5625,0.5938,0.5781,0.5781,0.6094,0.6094,0.5469,0.5719
10,0.5469,0.5781,0.5469,0.5469,0.5781,0.5625,0.5938,0.5781,0.5781,0.6094,0.6094,0.5469,0.5719
11,0.5469,0.5781,0.5469,0.5469,0.5781,0.5625,0.5938,0.5781,0.5781,0.6094,0.6094,0.5469,0.5719
12,0.5469,0.5781,0.5469,0.5469,0.5781,0.5625,0.5938,0.5781,0.5781,0.6094,0.6094,0.5469,0.5719
13,0.5469,0.5781,0.5469,0.5469,0.5781,0.5625,0.5938,0.5781,0.5781,0.6094,0.6094,0.5469,0.5719
14,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.5938,0.5781,0.5938,0.6094,0.6094,0.5469,0.575
15,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.5938,0.5781,0.5938,0.6094,0.6094,0.5469,0.575
16,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.6094,0.5938,0.5938,0.6094,0.6094,0.5469,0.5781
17,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.6094,0.5938,0.5938,0.6094,0.6094,0.5469,0.5781
18,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.6094,0.5938,0.5938,0.6094,0.6094,0.5469,0.5781
19,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.6094,0.5938,0.5938,0.6094,0.6094,0.5469,0.5781
20,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.6094,0.625,0.5469,0.5797
21,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.6094,0.625,0.5469,0.5797
22,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.6094,0.625,0.5469,0.5797
23,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.6094,0.625,0.5469,0.5797
24,0.5469,0.5781,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.6094,0.625,0.5469,0.5797
25,0.5469,0.5938,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5828
26,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
27,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
28,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
29,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
30,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
31,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
32,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
33,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
34,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
35,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
36,0.5469,0.625,0.5469,0.5625,0.5781,0.5625,0.625,0.5938,0.5938,0.625,0.625,0.5469,0.5859
